timeStep,prey,predators
,,
,,
0,216,73
1,219,73
2,230,73
3,233,73
4,256,73
5,252,73
6,264,73
7,270,73
8,274,73
9,275,73
10,288,73
11,273,73
12,287,73
13,303,74
14,303,74
15,312,74
16,304,74
17,327,74
18,340,74
19,326,74
20,327,74
21,321,74
22,327,74
23,322,74
24,320,74
25,321,74
26,325,75
27,328,76
28,319,76
29,318,77
30,322,77
31,329,77
32,313,79
33,334,79
34,326,79
35,324,79
36,327,79
37,321,79
38,320,80
39,329,80
40,323,80
41,318,81
42,320,80
43,311,79
44,315,79
45,326,79
46,329,79
47,331,79
48,319,79
49,320,79
50,310,79
51,312,79
52,319,79
53,306,77
54,319,73
55,312,73
56,310,74
57,306,74
58,322,74
59,324,73
60,322,73
61,318,73
62,310,73
63,318,73
64,329,73
65,337,73
66,329,73
67,327,73
68,333,74
69,336,75
70,329,76
71,327,74
72,329,73
73,331,73
74,326,73
75,332,73
76,328,73
77,327,73
78,329,74
79,325,75
80,321,74
81,318,73
82,316,73
83,314,74
84,323,74
85,321,74
86,316,75
87,315,74
88,322,72
89,323,73
90,309,74
91,312,74
92,312,74
93,308,74
94,319,75
95,311,75
96,318,76
97,321,76
98,307,77
99,309,76
100,305,77
101,314,77
102,322,77
103,322,76
104,324,75
105,331,75
106,326,75
107,324,74
108,326,74
109,316,73
110,315,73
111,318,75
112,306,75
113,308,75
114,317,73
115,308,71
